0,new,vector
1,new,vector
0,resize,10
0,operator[],0
0,operator[],1
0,operator[],2
0,operator[],3
0,operator[],4
0,operator[],5
0,operator[],6
0,operator[],7
0,operator[],8
0,operator[],9
1,resize,10
0,operator[],0
0,operator[],1
1,operator[],0
0,operator[],1
1,operator[],1
0,operator[],0
0,operator[],0
1,operator[],0
0,operator[],1
1,operator[],1
0,operator[],3
0,operator[],4
1,operator[],0
0,operator[],4
1,operator[],1
0,operator[],3
0,operator[],3
1,operator[],0
0,operator[],4
1,operator[],1
0,operator[],2
0,operator[],3
1,operator[],0
0,operator[],3
0,operator[],2
0,operator[],4
1,operator[],1
0,operator[],2
1,operator[],2
0,operator[],4
0,operator[],2
1,operator[],0
0,operator[],3
1,operator[],1
0,operator[],4
1,operator[],2
0,operator[],0
0,operator[],2
1,operator[],0
0,operator[],2
0,operator[],0
0,operator[],3
1,operator[],1
0,operator[],0
0,operator[],1
0,operator[],3
1,operator[],2
0,operator[],1
1,operator[],3
0,operator[],3
1,operator[],4
0,operator[],4
0,operator[],0
1,operator[],0
0,operator[],1
1,operator[],1
0,operator[],2
1,operator[],2
0,operator[],3
1,operator[],3
0,operator[],4
1,operator[],4
0,operator[],5
0,operator[],6
1,operator[],0
0,operator[],6
1,operator[],1
0,operator[],5
0,operator[],5
1,operator[],0
0,operator[],6
1,operator[],1
0,operator[],8
0,operator[],9
1,operator[],0
0,operator[],8
1,operator[],1
0,operator[],9
0,operator[],8
1,operator[],0
0,operator[],9
1,operator[],1
0,operator[],7
0,operator[],8
1,operator[],0
0,operator[],7
1,operator[],1
0,operator[],8
1,operator[],2
0,operator[],9
0,operator[],7
1,operator[],0
0,operator[],8
1,operator[],1
0,operator[],9
1,operator[],2
0,operator[],5
0,operator[],7
1,operator[],0
0,operator[],7
0,operator[],5
0,operator[],8
1,operator[],1
0,operator[],5
0,operator[],6
0,operator[],8
1,operator[],2
0,operator[],6
1,operator[],3
0,operator[],8
1,operator[],4
0,operator[],9
0,operator[],5
1,operator[],0
0,operator[],6
1,operator[],1
0,operator[],7
1,operator[],2
0,operator[],8
1,operator[],3
0,operator[],9
1,operator[],4
0,operator[],0
0,operator[],5
1,operator[],0
0,operator[],0
0,operator[],1
0,operator[],5
1,operator[],1
0,operator[],5
0,operator[],1
0,operator[],6
1,operator[],2
0,operator[],6
0,operator[],1
0,operator[],7
1,operator[],3
0,operator[],1
0,operator[],2
0,operator[],7
1,operator[],4
0,operator[],2
0,operator[],3
0,operator[],7
1,operator[],5
0,operator[],7
0,operator[],3
0,operator[],8
1,operator[],6
0,operator[],8
0,operator[],3
0,operator[],9
1,operator[],7
0,operator[],3
0,operator[],4
0,operator[],9
1,operator[],8
0,operator[],4
1,operator[],9
0,operator[],9
0,operator[],0
1,operator[],0
0,operator[],1
1,operator[],1
0,operator[],2
1,operator[],2
0,operator[],3
1,operator[],3
0,operator[],4
1,operator[],4
0,operator[],5
1,operator[],5
0,operator[],6
1,operator[],6
0,operator[],7
1,operator[],7
0,operator[],8
1,operator[],8
0,operator[],9
1,operator[],9
